   52    0.1584  2.0458 -0.23799E-01  0.17324E-02  0.85639E-01  0.92064E+01  0.30228E+02
   53    0.1617  2.0842 -0.24442E-01  0.17421E-02  0.85649E-01  0.91864E+01  0.30512E+02
   54    0.1651  2.1226 -0.25091E-01  0.17514E-02  0.85658E-01  0.91665E+01  0.30804E+02
   55    0.1685  2.1608 -0.25745E-01  0.17599E-02  0.85667E-01  0.91466E+01  0.31092E+02
   56    0.1718  2.1990 -0.26406E-01  0.17675E-02  0.85675E-01  0.91268E+01  0.31380E+02
   57    0.1752  2.2372 -0.27072E-01  0.17744E-02  0.85682E-01  0.91070E+01  0.31666E+02
   58    0.1786  2.2752 -0.27744E-01  0.17807E-02  0.85688E-01  0.90873E+01  0.31952E+02
   59    0.1820  2.3132 -0.28422E-01  0.17861E-02  0.85693E-01  0.90676E+01  0.32241E+02
   60    0.1854  2.3511 -0.29106E-01  0.17909E-02  0.85698E-01  0.90480E+01  0.32524E+02
   61    0.1888  2.3890 -0.29795E-01  0.17951E-02  0.85702E-01  0.90284E+01  0.32817E+02
   62    0.1923  2.4268 -0.30491E-01  0.17982E-02  0.85705E-01  0.90088E+01  0.33100E+02
   63    0.1957  2.4645 -0.31192E-01  0.18006E-02  0.85708E-01  0.89893E+01  0.33390E+02
   64    0.1991  2.5021 -0.31899E-01  0.18025E-02  0.85710E-01  0.89699E+01  0.33678E+02
   65    0.2026  2.5397 -0.32612E-01  0.18034E-02  0.85710E-01  0.89505E+01  0.33967E+02
   66    0.2061  2.5772 -0.33331E-01  0.18038E-02  0.85711E-01  0.89311E+01  0.34250E+02
   67    0.2096  2.6146 -0.34056E-01  0.18031E-02  0.85710E-01  0.89118E+01  0.34536E+02
   68    0.2130  2.6520 -0.34786E-01  0.18020E-02  0.85709E-01  0.88925E+01  0.34823E+02
   69    0.2165  2.6892 -0.35522E-01  0.17998E-02  0.85707E-01  0.88733E+01  0.35116E+02
   70    0.2201  2.7264 -0.36264E-01  0.17971E-02  0.85704E-01  0.88541E+01  0.35398E+02
   71    0.2236  2.7636 -0.37012E-01  0.17936E-02  0.85701E-01  0.88350E+01  0.35683E+02
   72    0.2271  2.8006 -0.37766E-01  0.17893E-02  0.85696E-01  0.88159E+01  0.35524E+02
   73    0.2306  2.8376 -0.38513E-01  0.17875E-02  0.85695E-01  0.87968E+01  0.35813E+02
   74    0.2342  2.8746 -0.39278E-01  0.17816E-02  0.85689E-01  0.87778E+01  0.36547E+02
   75    0.2378  2.9114 -0.40049E-01  0.17748E-02  0.85682E-01  0.87588E+01  0.36831E+02
   76    0.2413  2.9482 -0.40826E-01  0.17675E-02  0.85675E-01  0.87399E+01  0.37128E+02
   77    0.2449  2.9849 -0.41608E-01  0.17594E-02  0.85666E-01  0.87211E+01  0.37410E+02
   78    0.2485  3.0215 -0.42396E-01  0.17504E-02  0.85658E-01  0.87023E+01  0.37694E+02
   79    0.2521  3.0580 -0.43191E-01  0.17407E-02  0.85648E-01  0.86835E+01  0.37984E+02
   80    0.2557  3.0945 -0.43991E-01  0.17301E-02  0.85637E-01  0.86648E+01  0.38275E+02
   81    0.2593  3.1309 -0.44796E-01  0.17188E-02  0.85626E-01  0.86461E+01  0.38565E+02
   82    0.2630  3.1672 -0.45608E-01  0.17067E-02  0.85614E-01  0.86274E+01  0.38849E+02
   83    0.2666  3.2035 -0.46426E-01  0.16938E-02  0.85601E-01  0.86088E+01  0.39138E+02
   84    0.2703  3.2397 -0.47249E-01  0.16800E-02  0.85587E-01  0.85903E+01  0.39431E+02
   85    0.2739  3.2758 -0.48079E-01  0.16656E-02  0.85573E-01  0.85718E+01  0.39718E+02
